"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
38,18,0,2,0,0,0,1,0,0,0,5,0,0,1,1,1,0.105,0.111,0.143,0,0,1.167,0,1,175,72,25,1,0
44,52,8,14,1,1,3,10,0,0,2,11,1,0,2,0,1,0.296,0.5,0.289,0.231,0,0,1,1,182,73,37,0,0
124,388,39,85,6,1,20,73,1,0,66,61,15,1,4,2,20,0.333,0.394,0.21,0.175,0.00806451612903226,0.487,0,1,190,69,35,1,0
132,422,54,100,18,2,7,50,9,6,45,53,4,2,6,5,9,0.31,0.339,0.253,0.102,0.0681818181818182,0.358,1,1,190,73,25,1,0
54,115,16,35,5,6,3,25,0,1,18,13,0,0,1,1,3,0.396,0.53,0.32,0.226,0,2,1,1,200,72,31,1,0
80,183,15,47,5,1,0,18,1,2,12,33,2,1,6,1,5,0.305,0.295,0.311,0.038,0.0125,0,1,1,165,72,32,1,0
100,262,38,59,5,3,7,43,3,1,34,33,2,1,1,3,5,0.313,0.347,0.231,0.122,0.03,0.638,1,1,185,72,34,0,0
35,61,1,1,0,0,0,1,0,0,6,33,0,0,5,1,0,0.103,0.016,0.034,0,0,1,0,1,190,76,26,1,0
32,66,1,8,1,0,0,0,0,0,0,8,0,0,5,0,1,0.121,0.136,0.138,0.015,0,0,0,1,165,70,30,1,0
31,78,9,17,2,0,0,4,0,0,9,14,0,0,5,0,0,0.299,0.244,0.266,0.026,0,0,1,1,178,70,28,0,0
149,523,66,151,30,0,21,83,1,1,57,41,15,1,2,4,27,0.357,0.467,0.28,0.178,0.00671140939597315,0.616,0,1,190,72,34,1,0
153,594,102,178,23,8,6,43,21,9,95,39,6,4,6,2,5,0.399,0.396,0.312,0.096,0.137254901960784,0.374,0,1,175,70,28,0,1
153,550,86,146,29,4,32,87,3,3,76,91,10,0,5,2,16,0.354,0.507,0.266,0.242,0.0196078431372549,0.929,0,1,200,73,32,1,0
98,290,35,76,8,3,5,34,0,1,21,30,6,1,2,2,11,0.312,0.362,0.276,0.1,0,1.6,1,1,196,74,27,1,0
101,307,37,84,15,7,8,53,2,1,28,38,3,2,4,5,13,0.333,0.446,0.286,0.173,0.0198019801980198,0,0,1,180,73,30,1,0
34,77,7,11,1,0,0,1,0,0,7,25,0,1,6,0,0,0.224,0.156,0.212,0.013,0,0,1,1,170,75,24,1,0
62,23,0,2,0,0,0,1,0,0,1,14,0,1,0,0,1,0.16,0.087,0.222,0,0,0.75,0,1,180,72,30,1,0
45,79,10,19,5,0,2,12,0,0,6,17,0,0,1,0,2,0.294,0.38,0.283,0.139,0,0.667,1,1,215,76,27,1,0
28,70,1,9,0,0,0,2,0,0,1,29,0,0,2,0,1,0.141,0.129,0.22,0,0,0,0,0,180,74,39,1,0
150,533,132,188,22,5,52,130,10,1,112,99,6,2,1,4,4,0.464,0.705,0.352,0.353,0.0666666666666667,1.067,1,1,195,71,25,0,1
121,458,76,121,24,5,9,49,7,3,30,56,0,3,8,5,8,0.31,0.397,0.281,0.133,0.0578512396694215,0.84,1,1,165,71,28,1,0
46,52,4,11,0,0,1,4,0,0,8,13,0,0,1,0,4,0.317,0.269,0.263,0.058,0,2,1,1,170,74,27,0,0
120,438,79,136,13,3,13,56,3,8,68,59,1,3,7,2,5,0.405,0.443,0.334,0.132,0.025,0.383,1,1,175,72,28,1,0
19,24,3,7,1,0,0,1,0,0,0,3,0,0,0,0,2,0.292,0.333,0.333,0.042,0,0,0,0,195,73,35,0,0
41,13,1,2,0,0,0,0,0,0,1,5,0,0,3,0,0,0.214,0.154,0.25,0,0,2,1,1,180,73,26,1,0
62,136,22,39,5,1,2,14,2,2,14,19,1,0,0,0,2,0.353,0.382,0.322,0.096,0.032258064516129,0,0,1,165,70,25,1,0
52,111,13,26,6,0,2,16,1,0,12,18,0,1,3,1,4,0.312,0.342,0.261,0.108,0.0192307692307692,0,0,1,220,76,30,0,0
147,572,85,147,19,2,9,46,13,4,56,69,1,1,15,4,14,0.322,0.344,0.277,0.087,0.0884353741496599,0.572,0,1,160,70,38,1,0
117,357,61,98,15,2,10,43,12,5,60,32,2,3,9,2,9,0.382,0.412,0.278,0.137,0.102564102564103,0.796,0,1,195,71,37,1,0
54,162,27,33,1,4,4,21,1,1,19,38,0,0,2,1,3,0.286,0.333,0.24,0.13,0.0185185185185185,0,1,1,200,74,23,0,0
134,464,78,143,21,6,23,90,4,4,50,60,3,6,2,1,16,0.382,0.528,0.314,0.22,0.0298507462686567,0.5,1,1,195,71,26,1,0
24,83,15,24,4,2,0,4,1,1,5,6,0,0,1,0,0,0.33,0.386,0.312,0.096,0.0416666666666667,0.94,1,0,180,69,40,0,0
151,542,112,158,33,2,43,101,3,3,99,101,26,1,6,4,16,0.399,0.598,0.286,0.306,0.0198675496688742,0.912,0,1,179,72,30,0,0
32,64,5,20,1,1,0,5,0,0,0,7,0,0,3,1,0,0.308,0.359,0.345,0.047,0,0.667,1,1,170,72,26,0,0
27,46,5,8,2,0,0,3,0,1,3,16,0,0,3,0,0,0.224,0.217,0.267,0.043,0,0,1,1,215,74,26,1,0
54,146,5,31,6,1,3,20,0,1,7,18,2,0,1,2,3,0.245,0.329,0.22,0.116,0,0,0,1,175,72,30,0,0
11,12,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0.333,0.167,0.167,0,0,0,1,0,185,73,32,0,0
151,615,118,198,27,6,44,132,1,1,57,58,15,0,0,3,13,0.378,0.6,0.298,0.278,0.00662251655629139,1.2,0,1,180,72,23,1,0
65,209,31,60,13,2,12,38,0,0,20,51,3,1,0,1,7,0.351,0.541,0.327,0.254,0,0.4,0,1,210,76,30,1,0
137,479,70,124,22,9,18,65,7,2,42,64,4,4,6,4,8,0.321,0.455,0.264,0.196,0.0510948905109489,0.862,1,1,192,72,35,1,0
134,482,74,121,14,2,24,82,1,2,57,24,10,1,1,4,11,0.329,0.438,0.221,0.187,0.00746268656716418,0.894,1,1,185,67,32,0,0
34,73,4,6,0,0,0,4,0,0,6,34,0,0,3,0,1,0.152,0.082,0.154,0,0,0,0,1,180,74,29,1,0
41,88,11,13,2,0,2,9,0,0,3,22,0,1,4,1,4,0.183,0.239,0.169,0.091,0,0.111,0,1,180,74,31,1,0
35,37,5,7,2,0,3,8,0,0,3,11,0,0,0,0,0,0.25,0.486,0.174,0.297,0,1,1,1,182,73,38,0,0
85,247,30,63,6,5,6,33,2,2,15,42,3,5,4,2,7,0.309,0.393,0.284,0.138,0.0235294117647059,0.804,1,1,190,73,26,1,0
72,157,23,42,7,2,2,12,1,1,20,21,0,1,2,0,7,0.354,0.376,0.299,0.108,0.0138888888888889,0.895,1,1,165,72,33,1,0
79,149,17,30,1,0,2,10,2,1,24,18,2,0,0,1,4,0.31,0.248,0.215,0.047,0.0253164556962025,0,1,1,185,72,35,0,0
96,328,51,93,4,8,21,65,4,1,29,44,7,2,5,7,5,0.339,0.537,0.267,0.253,0.0416666666666667,0.519,0,1,205,73,25,0,0
118,383,45,97,11,2,15,46,1,2,30,38,9,1,4,2,13,0.308,0.41,0.247,0.157,0.00847457627118644,0.618,0,1,180,73,27,1,0
46,35,3,7,0,0,0,2,0,0,0,9,0,0,1,0,1,0.2,0.2,0.269,0,0,0,1,1,185,74,28,1,0
24,42,4,6,0,0,0,2,0,0,3,7,0,0,5,0,0,0.2,0.143,0.171,0,0,0,1,1,178,70,29,0,0
41,134,26,54,12,0,7,27,1,3,18,15,4,1,2,0,1,0.477,0.649,0.42,0.246,0.024390243902439,0.368,0,1,190,72,27,0,0
110,356,33,90,13,4,8,44,2,5,16,43,6,0,6,2,18,0.283,0.379,0.267,0.126,0.0181818181818182,0.879,1,1,196,74,28,1,0
30,17,1,6,1,0,1,7,0,0,0,3,0,0,1,0,0,0.353,0.588,0.385,0.235,0,0,0,1,190,75,33,1,0
30,79,5,21,2,1,2,8,0,0,3,7,1,0,1,0,0,0.293,0.392,0.271,0.127,0,0.333,0,1,185,73,32,1,0
127,431,56,128,21,3,3,39,6,6,24,48,3,3,13,4,4,0.335,0.381,0.326,0.084,0.047244094488189,0.786,1,1,190,75,22,0,0
31,56,6,14,5,0,0,5,0,1,6,11,0,0,0,1,3,0.317,0.339,0.304,0.089,0,0.5,1,1,215,76,28,1,0
129,494,59,135,19,7,10,49,5,0,31,49,2,4,8,4,14,0.319,0.401,0.285,0.128,0.0387596899224806,0.624,0,1,175,71,31,1,0
40,103,15,35,6,2,0,11,2,2,9,13,0,0,0,1,1,0.389,0.437,0.385,0.097,0.05,0.619,1,1,185,74,24,0,0
71,182,28,43,9,1,4,21,2,0,14,34,2,2,1,1,3,0.296,0.363,0.269,0.126,0.028169014084507,0.091,0,1,160,72,23,1,0
144,474,121,173,28,6,34,94,16,3,146,75,23,0,0,3,5,0.512,0.665,0.378,0.3,0.111111111111111,0.785,1,1,195,71,26,0,1
148,572,109,167,28,9,32,94,3,1,90,79,5,0,2,2,6,0.387,0.54,0.292,0.248,0.0202702702702703,0.933,0,1,190,73,26,0,0
141,539,87,156,25,9,13,62,2,5,59,71,1,4,19,3,12,0.362,0.442,0.312,0.152,0.0141843971631206,0.571,1,1,175,72,29,1,0
83,220,31,61,6,1,8,27,1,0,10,22,2,1,1,3,6,0.308,0.423,0.275,0.145,0.0120481927710843,0.481,0,1,190,72,36,1,0
25,36,5,9,1,0,1,2,0,0,1,10,0,0,0,1,0,0.263,0.361,0.308,0.111,0,0,0,1,170,71,20,0,0
54,144,15,33,1,1,9,20,0,0,17,37,7,0,1,1,5,0.309,0.438,0.242,0.208,0,0.452,0,1,190,74,35,1,0
58,105,13,25,4,0,6,17,0,0,10,15,2,2,1,0,2,0.316,0.448,0.226,0.21,0,0,0,1,210,70,30,0,0
93,394,56,122,23,4,6,32,2,3,23,7,1,1,7,1,6,0.348,0.434,0.304,0.124,0.021505376344086,0.611,0,0,170,72,34,0,1
33,56,6,10,3,0,0,6,0,0,8,16,0,0,1,0,0,0.281,0.232,0.25,0.054,0,0,1,1,139,66,32,1,0
75,224,27,56,7,3,7,39,1,0,19,36,0,0,3,1,6,0.307,0.402,0.269,0.152,0.0133333333333333,0.167,1,0,180,73,32,0,0
122,457,54,139,15,5,17,88,3,2,31,60,6,3,3,7,17,0.347,0.47,0.315,0.166,0.0245901639344262,0,1,1,195,71,27,1,0
96,209,24,53,7,1,5,34,0,2,40,19,5,0,4,3,5,0.369,0.368,0.255,0.115,0,0.733,1,1,180,69,41,0,0
39,94,3,13,2,1,2,8,0,0,4,25,0,0,3,2,3,0.17,0.245,0.159,0.106,0,0.2,0,1,172,72,36,0,0
28,71,4,13,0,0,0,0,0,0,6,10,0,0,4,0,1,0.247,0.183,0.213,0,0,0,1,1,170,72,27,0,0
129,364,46,99,19,5,5,40,0,0,29,19,1,9,7,2,10,0.339,0.393,0.275,0.121,0,1.317,0,1,200,76,26,0,0
32,57,4,5,0,0,0,0,0,0,8,27,0,1,2,0,0,0.212,0.088,0.167,0,0,0,1,1,215,74,27,1,0
153,601,109,196,34,4,30,95,4,1,59,49,16,1,0,3,21,0.386,0.546,0.316,0.22,0.0261437908496732,0.827,0,1,180,72,24,1,0
105,320,40,88,15,1,19,54,0,0,21,63,1,1,2,5,14,0.317,0.506,0.284,0.231,0,0.665,0,1,210,76,31,1,0
128,452,62,121,22,6,12,50,3,2,32,56,1,1,3,2,7,0.316,0.423,0.282,0.155,0.0234375,1.032,1,1,192,72,36,1,0
122,433,60,115,17,3,22,90,3,0,35,35,5,2,0,6,6,0.319,0.471,0.243,0.206,0.0245901639344262,0.575,1,1,185,67,33,0,0
100,325,47,91,11,3,3,28,4,1,27,37,4,2,4,3,5,0.336,0.36,0.306,0.08,0.04,1.134,0,1,169,72,33,0,0
47,99,11,24,1,1,3,15,0,0,3,24,0,1,5,0,4,0.272,0.364,0.292,0.121,0,0.556,0,1,180,74,32,1,0
102,315,39,90,19,4,12,45,1,2,34,43,4,6,7,3,5,0.363,0.486,0.297,0.2,0.00980392156862745,0.167,1,1,190,73,27,1,0
90,294,43,97,12,1,24,74,0,0,20,35,7,5,3,2,7,0.38,0.622,0.308,0.293,0,0.58,0,1,205,73,26,0,0
131,427,50,116,23,1,18,63,4,1,48,38,18,4,2,4,14,0.348,0.457,0.261,0.185,0.0305343511450382,0.67,0,1,180,73,28,1,0
38,44,8,11,0,0,0,5,0,0,2,10,0,0,2,0,3,0.283,0.25,0.324,0,0,0,1,1,185,74,29,1,0
44,13,0,1,0,0,0,1,0,0,3,8,0,1,4,0,0,0.294,0.077,0.2,0,0,0,1,1,190,74,29,1,0
30,73,10,15,1,0,0,2,0,0,5,10,0,1,5,0,1,0.266,0.219,0.238,0.014,0,0.333,1,1,178,70,30,0,0
63,133,14,25,3,0,4,10,0,1,13,9,2,2,2,0,5,0.27,0.301,0.175,0.113,0,0,0,1,165,72,31,0,0
103,376,45,118,19,5,11,66,1,1,22,60,6,0,4,4,9,0.348,0.479,0.346,0.165,0.00970873786407767,0.485,1,1,196,74,29,1,0
