"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
75,224,27,56,7,2.07944154167984,7,39,1.79175946922805,1.6094379124341,19,36,1.6094379124341,1.6094379124341,2.07944154167984,1,6,0.307,0.402,0.269,0.152,0.0133333333333333,0.167,1,0,180,73,32,0,0
96,209,24,53,7,1.79175946922805,5,34,1.6094379124341,1.94591014905531,40,19,2.30258509299405,1.6094379124341,2.19722457733622,3,5,0.369,0.368,0.255,0.115,0,0.733,1,1,180,69,41,0,0
129,364,46,99,19,2.30258509299405,5,40,1.6094379124341,1.6094379124341,29,19,1.79175946922805,2.63905732961526,2.484906649788,2,10,0.339,0.393,0.275,0.121,0,1.317,0,1,200,76,26,0,0
153,601,109,196,34,2.19722457733622,30,95,2.19722457733622,1.79175946922805,59,49,3.04452243772342,1.79175946922805,1.6094379124341,3,21,0.386,0.546,0.316,0.22,0.0261437908496732,0.827,0,1,180,72,24,1,0
105,320,40,88,15,1.79175946922805,19,54,1.6094379124341,1.6094379124341,21,63,1.79175946922805,1.79175946922805,1.94591014905531,5,14,0.317,0.506,0.284,0.231,0,0.665,0,1,210,76,31,1,0
128,452,62,121,22,2.39789527279837,12,50,2.07944154167984,1.94591014905531,32,56,1.79175946922805,1.79175946922805,2.07944154167984,2,7,0.316,0.423,0.282,0.155,0.0234375,1.032,1,1,192,72,36,1,0
122,433,60,115,17,2.07944154167984,22,90,2.07944154167984,1.6094379124341,35,35,2.30258509299405,1.94591014905531,1.6094379124341,6,6,0.319,0.471,0.243,0.206,0.0245901639344262,0.575,1,1,185,67,33,0,0
100,325,47,91,11,2.07944154167984,3,28,2.19722457733622,1.79175946922805,27,37,2.19722457733622,1.94591014905531,2.19722457733622,3,5,0.336,0.36,0.306,0.08,0.04,1.134,0,1,169,72,33,0,0
102,315,39,90,19,2.19722457733622,12,45,1.79175946922805,1.94591014905531,34,43,2.19722457733622,2.39789527279837,2.484906649788,3,5,0.363,0.486,0.297,0.2,0.00980392156862745,0.167,1,1,190,73,27,1,0
90,294,43,97,12,1.79175946922805,24,74,1.6094379124341,1.6094379124341,20,35,2.484906649788,2.30258509299405,2.07944154167984,2,7,0.38,0.622,0.308,0.293,0,0.58,0,1,205,73,26,0,0
131,427,50,116,23,1.79175946922805,18,63,2.19722457733622,1.79175946922805,48,38,3.13549421592915,2.19722457733622,1.94591014905531,4,14,0.348,0.457,0.261,0.185,0.0305343511450382,0.67,0,1,180,73,28,1,0
103,376,45,118,19,2.30258509299405,11,66,1.79175946922805,1.79175946922805,22,60,2.39789527279837,1.6094379124341,2.19722457733622,4,9,0.348,0.479,0.346,0.165,0.00970873786407767,0.485,1,1,196,74,29,1,0
138,559,66,148,21,1.79175946922805,2,48,2.30258509299405,2.19722457733622,25,57,2.07944154167984,1.79175946922805,2.56494935746154,4,7,0.295,0.317,0.29,0.052,0.036231884057971,0.135,1,1,190,75,23,0,0
145,530,54,120,20,1.6094379124341,11,53,1.79175946922805,1.94591014905531,40,57,1.79175946922805,2.30258509299405,2.89037175789616,2,8,0.286,0.326,0.235,0.1,0.00689655172413793,0.385,0,1,175,71,32,1,0
81,232,34,59,8,2.19722457733622,3,32,1.79175946922805,1.94591014905531,23,21,1.94591014905531,1.79175946922805,1.94591014905531,4,7,0.319,0.362,0.264,0.108,0.0123456790123457,0.397,1,1,185,74,25,0,0
150,519,127,158,21,1.79175946922805,42,97,3.13549421592915,2.07944154167984,129,120,2.89037175789616,1.94591014905531,1.94591014905531,2,11,0.443,0.592,0.323,0.287,0.12,1.003,1,1,195,71,27,0,1
149,546,97,137,18,1.79175946922805,31,77,2.30258509299405,1.6094379124341,85,85,2.30258509299405,1.94591014905531,2.56494935746154,8,9,0.349,0.458,0.242,0.207,0.0335570469798658,0.563,0,1,190,73,27,0,0
138,503,69,126,19,1.79175946922805,14,65,2.39789527279837,1.94591014905531,59,75,1.79175946922805,2.07944154167984,2.484906649788,6,15,0.329,0.376,0.267,0.125,0.0434782608695652,0.974,1,1,175,72,30,1,0
106,427,47,112,23,1.79175946922805,1,24,2.07944154167984,1.79175946922805,31,21,1.6094379124341,1.79175946922805,2.30258509299405,1,8,0.313,0.328,0.273,0.066,0.0283018867924528,0.81,0,1,170,72,35,0,1
126,465,61,127,22,2.07944154167984,14,73,1.79175946922805,1.79175946922805,28,69,1.79175946922805,2.19722457733622,1.79175946922805,5,16,0.317,0.424,0.292,0.151,0.00793650793650794,0.767,1,1,195,71,28,1,0
41,108,10,36,6,1.79175946922805,2,15,1.6094379124341,1.6094379124341,7,24,1.6094379124341,1.94591014905531,2.19722457733622,1,0,0.381,0.463,0.41,0.13,0,0.667,0,1,172,72,37,0,0
138,372,41,115,22,2.30258509299405,6,55,1.94591014905531,1.6094379124341,42,14,2.484906649788,2.484906649788,2.30258509299405,4,14,0.386,0.444,0.306,0.134,0.0144927536231884,0.44,0,1,200,76,27,0,0
152,612,98,157,18,2.30258509299405,6,51,4.11087386417331,2.89037175789616,53,40,1.79175946922805,2.07944154167984,2.77258872223978,7,11,0.316,0.332,0.264,0.075,0.368421052631579,0.703,1,1,160,69,25,1,0
139,371,55,95,11,1.79175946922805,18,70,2.30258509299405,2.39789527279837,16,87,1.79175946922805,2.39789527279837,2.07944154167984,5,7,0.294,0.437,0.284,0.181,0.0359712230215827,0.558,0,1,190,76,24,1,0
156,624,84,191,34,2.39789527279837,2,70,2.30258509299405,2.39789527279837,71,13,2.56494935746154,2.484906649788,2.63905732961526,5,6,0.38,0.389,0.308,0.083,0.032051282051282,0.964,1,1,160,70,32,0,0
145,553,91,156,18,2.19722457733622,3,34,3.3322045101752,2.70805020110221,96,25,2.19722457733622,1.6094379124341,2.07944154167984,3,3,0.387,0.345,0.29,0.063,0.158620689655172,0.536,0,1,175,70,31,0,1
104,268,21,67,14,1.79175946922805,1,28,2.07944154167984,1.6094379124341,19,20,1.6094379124341,1.94591014905531,1.94591014905531,0,4,0.304,0.321,0.267,0.071,0.0288461538461538,0.516,1,1,165,71,33,0,0
124,413,57,114,19,1.94591014905531,25,80,2.07944154167984,1.94591014905531,58,92,2.39789527279837,2.07944154167984,2.07944154167984,3,13,0.367,0.513,0.298,0.237,0.0241935483870968,1.025,0,1,200,73,35,1,0
31,101,11,30,2,1.79175946922805,2,10,1.6094379124341,1.79175946922805,9,10,2.07944154167984,1.6094379124341,1.79175946922805,1,4,0.351,0.396,0.311,0.099,0,1.266,1,0,225,74,35,0,0
149,515,78,140,26,2.484906649788,5,60,3.2188758248682,2.63905732961526,78,68,2.30258509299405,2.56494935746154,2.89037175789616,9,5,0.37,0.379,0.299,0.107,0.134228187919463,0.638,1,1,180,73,25,1,0
108,311,37,90,14,1.79175946922805,8,49,1.6094379124341,1.79175946922805,26,25,1.79175946922805,1.94591014905531,2.56494935746154,4,12,0.344,0.418,0.291,0.129,0,0.465,0,1,185,72,29,0,0
140,505,63,134,22,2.07944154167984,22,84,2.19722457733622,2.07944154167984,55,49,2.39789527279837,2.63905732961526,1.94591014905531,5,27,0.345,0.451,0.255,0.186,0.0285714285714286,0.614,1,1,185,73,35,1,0
145,543,93,164,26,2.77258872223978,19,74,2.99573227355399,2.39789527279837,81,64,1.79175946922805,2.07944154167984,2.56494935746154,2,9,0.394,0.495,0.314,0.193,0.103448275862069,0.711,0,1,169,72,29,0,0
151,616,103,177,30,2.77258872223978,19,83,3.09104245335832,2.39789527279837,43,86,1.94591014905531,2.19722457733622,3.25809653802148,1,22,0.337,0.464,0.309,0.177,0.112582781456954,1.037,0,1,165,70,28,1,0
117,379,43,100,27,1.79175946922805,5,40,1.79175946922805,1.79175946922805,27,28,2.484906649788,2.19722457733622,2.19722457733622,1,8,0.319,0.38,0.274,0.116,0.00854700854700855,0.7,1,1,180,69,31,1,0
80,177,18,39,9,2.19722457733622,4,19,2.30258509299405,2.07944154167984,11,19,2.07944154167984,1.79175946922805,1.6094379124341,3,1,0.266,0.384,0.223,0.164,0.0625,0.214,1,1,196,72,38,0,0
118,397,39,92,14,2.484906649788,10,38,2.484906649788,2.30258509299405,52,69,2.77258872223978,2.07944154167984,2.30258509299405,4,7,0.322,0.378,0.255,0.146,0.0593220338983051,0.19,0,1,190,71,26,0,0
129,472,65,112,16,2.19722457733622,17,55,2.484906649788,2.30258509299405,46,74,2.07944154167984,2.30258509299405,2.30258509299405,1,10,0.311,0.396,0.249,0.159,0.0542635658914729,0.775,1,1,189,72,31,1,0
126,370,59,114,11,1.94591014905531,23,88,1.79175946922805,2.30258509299405,58,71,2.89037175789616,1.6094379124341,2.30258509299405,2,8,0.4,0.535,0.327,0.227,0.00793650793650794,0.833,0,1,179,72,33,0,0
83,242,27,63,5,1.94591014905531,0,7,2.484906649788,2.07944154167984,13,27,2.30258509299405,1.6094379124341,2.07944154167984,0,3,0.298,0.298,0.293,0.037,0.0843373493975904,0.5,0,1,170,71,27,0,1
120,359,46,99,14,1.79175946922805,15,62,1.94591014905531,1.79175946922805,38,23,2.39789527279837,2.07944154167984,1.6094379124341,4,11,0.347,0.446,0.258,0.17,0.0166666666666667,0.83,1,1,185,67,35,0,0
53,99,8,24,3,1.79175946922805,4,14,1.6094379124341,1.6094379124341,6,17,1.79175946922805,1.79175946922805,1.79175946922805,0,2,0.292,0.414,0.256,0.172,0,1.091,1,1,193,73,27,0,0
124,393,54,95,20,1.79175946922805,14,46,1.94591014905531,2.07944154167984,23,85,1.79175946922805,2.07944154167984,2.484906649788,5,7,0.285,0.405,0.271,0.163,0.0161290322580645,0.833,1,1,165,72,23,1,0
110,337,33,99,15,1.94591014905531,7,39,1.6094379124341,1.79175946922805,35,13,2.83321334405622,1.6094379124341,1.6094379124341,4,6,0.356,0.412,0.287,0.119,0,0.789,0,1,185,68,33,0,0
87,216,32,54,11,1.79175946922805,8,28,1.6094379124341,1.6094379124341,30,36,1.94591014905531,2.07944154167984,1.6094379124341,0,6,0.349,0.421,0.267,0.171,0,0.714,1,0,200,72,35,1,0
101,307,36,82,14,2.19722457733622,0,28,1.79175946922805,1.6094379124341,32,43,2.07944154167984,1.79175946922805,2.07944154167984,2,9,0.336,0.339,0.308,0.072,0.0099009900990099,0.568,0,1,180,73,31,1,0
144,570,89,179,22,2.39789527279837,16,94,2.19722457733622,2.30258509299405,39,72,2.19722457733622,1.94591014905531,2.19722457733622,5,21,0.357,0.458,0.335,0.144,0.0277777777777778,0.621,0,1,175,71,26,1,0
138,573,85,186,26,2.19722457733622,2,50,1.6094379124341,1.94591014905531,39,35,1.6094379124341,2.19722457733622,2.83321334405622,1,7,0.371,0.394,0.343,0.07,0,0.5,0,1,180,71,30,1,0
155,553,97,156,24,2.63905732961526,16,79,2.07944154167984,1.94591014905531,74,74,2.63905732961526,1.79175946922805,2.19722457733622,4,17,0.366,0.445,0.3,0.163,0.0193548387096774,0.638,0,1,170,73,32,1,0
107,323,29,79,11,2.07944154167984,6,39,2.07944154167984,1.6094379124341,28,43,2.484906649788,1.6094379124341,1.94591014905531,8,8,0.298,0.353,0.259,0.108,0.0280373831775701,1.456,1,1,196,74,31,1,0
147,568,77,155,25,2.07944154167984,14,62,2.07944154167984,1.6094379124341,31,42,2.30258509299405,2.07944154167984,2.83321334405622,4,13,0.312,0.401,0.273,0.129,0.0204081632653061,0.761,1,1,190,75,25,0,0
153,527,119,145,17,2.39789527279837,40,94,2.94443897916644,2.07944154167984,111,125,2.39789527279837,1.79175946922805,1.6094379124341,5,11,0.399,0.558,0.286,0.283,0.0915032679738562,1.345,1,1,195,71,29,0,1
136,499,98,141,18,2.484906649788,39,112,1.94591014905531,1.94591014905531,70,65,2.19722457733622,2.07944154167984,1.79175946922805,5,6,0.371,0.581,0.255,0.299,0.0147058823529412,0.812,1,1,197,72,26,0,0
151,538,58,147,21,2.30258509299405,11,64,2.19722457733622,1.6094379124341,40,50,2.99573227355399,1.79175946922805,2.19722457733622,8,9,0.32,0.392,0.28,0.119,0.0264900662251656,0.96,0,1,183,71,24,1,0
119,337,54,87,16,2.19722457733622,8,34,1.94591014905531,2.19722457733622,38,45,1.6094379124341,2.07944154167984,2.484906649788,2,4,0.337,0.401,0.276,0.142,0.0168067226890756,0.683,1,1,175,72,32,1,0
150,460,45,116,12,2.07944154167984,1,26,2.39789527279837,2.39789527279837,35,19,2.39789527279837,1.6094379124341,2.63905732961526,3,7,0.303,0.298,0.26,0.046,0.04,1.054,1,1,170,69,25,1,0
146,538,63,166,34,2.07944154167984,26,91,1.94591014905531,2.07944154167984,38,95,1.94591014905531,1.94591014905531,1.6094379124341,6,17,0.353,0.528,0.331,0.219,0.0136986301369863,0.989,1,1,195,71,30,1,0
122,438,48,114,17,2.30258509299405,23,83,1.6094379124341,1.6094379124341,39,107,2.30258509299405,1.6094379124341,1.79175946922805,5,15,0.317,0.479,0.291,0.219,0,0.3,0,1,212,76,28,1,0
120,409,60,108,16,2.63905732961526,8,40,2.56494935746154,1.94591014905531,40,44,1.94591014905531,1.6094379124341,1.6094379124341,5,4,0.326,0.406,0.276,0.142,0.0666666666666667,0.611,0,1,175,72,29,0,0
119,395,62,107,11,1.6094379124341,22,61,1.94591014905531,1.6094379124341,35,28,2.19722457733622,1.94591014905531,1.6094379124341,5,7,0.33,0.466,0.243,0.195,0.0168067226890756,1.045,1,1,185,67,36,0,0
93,243,38,74,10,1.79175946922805,21,54,1.79175946922805,1.6094379124341,27,28,2.63905732961526,2.19722457733622,1.6094379124341,1,6,0.382,0.613,0.272,0.309,0.010752688172043,1.6,1,1,193,73,28,0,0
148,504,61,113,19,2.30258509299405,11,55,1.79175946922805,2.07944154167984,63,83,2.19722457733622,1.94591014905531,1.79175946922805,8,13,0.308,0.347,0.244,0.123,0.00675675675675676,0.821,1,1,165,72,24,1,0
61,132,26,35,4,1.94591014905531,2,5,1.79175946922805,2.19722457733622,21,22,1.6094379124341,1.94591014905531,2.07944154167984,0,0,0.374,0.371,0.306,0.106,0.0163934426229508,0.558,0,1,160,69,25,1,0
150,520,63,149,27,2.19722457733622,26,87,1.79175946922805,2.07944154167984,45,67,2.77258872223978,1.94591014905531,2.19722457733622,7,9,0.341,0.504,0.283,0.217,0.00666666666666667,0.65,0,1,215,75,27,0,0
52,145,14,27,5,1.6094379124341,2,14,1.79175946922805,1.6094379124341,18,28,2.19722457733622,1.79175946922805,1.6094379124341,1,3,0.279,0.262,0.216,0.076,0.0192307692307692,0.909,0,1,220,76,23,0,0
152,575,78,159,27,1.94591014905531,26,87,2.56494935746154,1.94591014905531,27,78,2.30258509299405,1.6094379124341,1.79175946922805,3,17,0.307,0.466,0.281,0.19,0.0526315789473684,0.336,0,1,175,71,27,1,0
129,446,64,155,17,2.30258509299405,21,77,1.6094379124341,2.07944154167984,28,65,2.39789527279837,2.07944154167984,1.79175946922805,4,5,0.387,0.549,0.368,0.202,0,0.868,1,1,196,74,32,1,0
126,469,64,127,22,1.79175946922805,2,27,2.19722457733622,2.07944154167984,32,36,1.79175946922805,2.19722457733622,1.94591014905531,4,4,0.32,0.335,0.287,0.064,0.0317460317460317,0.636,0,1,180,72,30,1,0
